"ID","Name","Stable ability ID","Slot","Control","Power name","Type","Declared description","Full source parameters","Definition source"
"sol","SOL","sol.lmb","lmb","LMB","Heat Ray","beam","Not separately declared; see character identity and parameters","{""type"":""beam"",""name"":""Heat Ray"",""cost"":4,""cd"":0.25,""radius"":0.55,""tipSpeed"":3600,""maxLen"":145,""dps"":60,""kiPerSec"":16,""steer"":13,""faceOrigin"":true,""color"":""#e01a2e"",""color2"":""#ffffff"",""dtype"":""fire""}","src/data/characters.js"
"sol","SOL","sol.rmb","rmb","RMB","Arctic Breath","cone","Not separately declared; see character identity and parameters","{""type"":""cone"",""name"":""Arctic Breath"",""kiPerSec"":20,""range"":38,""arc"":1.15,""dps"":26,""cold"":true,""color"":""#bfe9ff""}","src/data/characters.js"
"sol","SOL","sol.q","q","Q","Sky Smash","melee","Not separately declared; see character identity and parameters","{""type"":""melee"",""name"":""Sky Smash"",""cost"":14,""cd"":1.1,""damage"":30,""range"":13,""arc"":0.75,""lunge"":64,""knock"":58,""launch"":18,""fly"":true,""color"":""#ffd24a""}","src/data/characters.js"
"sol","SOL","sol.e","e","E","Solar Flare","projectile","Not separately declared; see character identity and parameters","{""type"":""projectile"",""name"":""Solar Flare"",""cost"":8,""cd"":0.5,""damage"":18,""speed"":78,""radius"":1.5,""blast"":7,""homing"":2.4,""color"":""#ff8a3d"",""color2"":""#ffd24a"",""dtype"":""fire""}","src/data/characters.js"
"sol","SOL","sol.f","f","H","Heat Flurry","volley","Not separately declared; see character identity and parameters","{""type"":""volley"",""name"":""Heat Flurry"",""cost"":3,""interval"":0.08,""damage"":7,""speed"":108,""radius"":0.8,""blast"":3.4,""spread"":0.11,""color"":""#ff7a2a"",""color2"":""#ffd24a"",""dtype"":""fire""}","src/data/characters.js"
"sol","SOL","sol.shift","shift","SHIFT","Super Dash","dash","Not separately declared; see character identity and parameters","{""type"":""dash"",""name"":""Super Dash"",""cost"":6,""cd"":0.6,""power"":104,""iframes"":0.26,""color"":""#ffd24a""}","src/data/characters.js"
"kano","KANO","kano.lmb","lmb","LMB","Wave Cannon","beam","Not separately declared; see character identity and parameters","{""type"":""beam"",""material"":""air"",""name"":""Wave Cannon"",""cost"":8,""cd"":0.6,""radius"":2.6,""tipSpeed"":518,""maxLen"":150,""dps"":88,""kiPerSec"":22,""charge"":true,""maxCharge"":1.6,""kiChargePerSec"":14,""chargePower"":1.7,""chargeWidth"":true,""steer"":9,""color"":""#7fd4ff"",""color2"":""#eaffff""}","src/data/characters.js"
"kano","KANO","kano.rmb","rmb","RMB","Comet Rush","rush","Not separately declared; see character identity and parameters","{""type"":""rush"",""name"":""Comet Rush"",""cost"":16,""cd"":2.2,""range"":72,""hits"":7,""interval"":0.09,""damage"":9,""finisher"":34,""color"":""#eaffff""}","src/data/characters.js"
"kano","KANO","kano.q","q","Q","Ki Blast","projectile","Not separately declared; see character identity and parameters","{""type"":""projectile"",""name"":""Ki Blast"",""cost"":6,""cd"":0.28,""damage"":12,""speed"":92,""radius"":1.1,""blast"":4.5,""homing"":2,""color"":""#7fd4ff"",""color2"":""#eaffff""}","src/data/characters.js"
"kano","KANO","kano.e","e","E","Snap Transit","teleport","Not separately declared; see character identity and parameters","{""type"":""teleport"",""name"":""Snap Transit"",""cost"":12,""cd"":1.4,""range"":58,""color"":""#eaffff""}","src/data/characters.js"
"kano","KANO","kano.shift","shift","SHIFT","Flash Step","dash","Not separately declared; see character identity and parameters","{""type"":""dash"",""name"":""Flash Step"",""cost"":5,""cd"":0.5,""power"":96,""iframes"":0.24,""color"":""#eaffff""}","src/data/characters.js"
"kano","KANO","kano.r","r","R","Star Sphere","growingorb","Not separately declared; see character identity and parameters","{""type"":""growingorb"",""name"":""Star Sphere"",""cost"":20,""cd"":16,""minR"":5,""maxR"":20,""growRate"":8,""kiPerSec"":16,""color"":""#9effcf"",""color2"":""#eaffff""}","src/data/characters.js"
"vega","VEGAS","vega.lmb","lmb","LMB","Volley","volley","Not separately declared; see character identity and parameters","{""type"":""volley"",""name"":""Volley"",""cost"":3,""interval"":0.07,""damage"":7,""speed"":112,""radius"":0.85,""blast"":3.6,""spread"":0.1,""color"":""#6ea0ff"",""color2"":""#eaffff""}","src/data/characters.js"
"vega","VEGAS","vega.rmb","rmb","RMB","Violet Lance","beam","Not separately declared; see character identity and parameters","{""type"":""beam"",""name"":""Violet Lance"",""cost"":8,""cd"":0.6,""radius"":1.45,""tipSpeed"":583,""maxLen"":150,""dps"":80,""kiPerSec"":22,""charge"":true,""maxCharge"":1.4,""kiChargePerSec"":16,""chargePower"":1.5,""chargeWidth"":true,""steer"":9,""spiral"":true,""color"":""#5a86ff"",""color2"":""#bfd0ff""}","src/data/characters.js"
"vega","VEGAS","vega.q","q","Q","Nova Burst","charge","Not separately declared; see character identity and parameters","{""type"":""charge"",""name"":""Nova Burst"",""cost"":6,""cd"":1,""kiPerSec"":12,""maxCharge"":2.4,""minR"":1.3,""maxR"":6.2,""dmgMin"":22,""dmgMax"":84,""maxBlast"":32,""speedMin"":40,""speedMax"":76,""chargePower"":3,""color"":""#6ea0ff"",""color2"":""#eaffff""}","src/data/characters.js"
"vega","VEGAS","vega.e","e","E","Rush Combo","melee","Not separately declared; see character identity and parameters","{""type"":""melee"",""contact"":""fist"",""name"":""Rush Combo"",""cost"":12,""cd"":1.2,""damage"":24,""range"":12,""arc"":0.8,""lunge"":52,""knock"":46,""launch"":12,""color"":""#6ea0ff""}","src/data/characters.js"
"vega","VEGAS","vega.shift","shift","SHIFT","Burst Dash","dash","Not separately declared; see character identity and parameters","{""type"":""dash"",""name"":""Burst Dash"",""cost"":5,""cd"":0.55,""power"":98,""iframes"":0.24,""color"":""#6ea0ff""}","src/data/characters.js"
"vega","VEGAS","vega.r","r","R","Final Arc","beam","Not separately declared; see character identity and parameters","{""type"":""beam"",""material"":""air"",""name"":""Final Arc"",""cost"":24,""cd"":14,""radius"":3.4,""tipSpeed"":648,""maxLen"":170,""dps"":130,""kiPerSec"":30,""charge"":true,""maxCharge"":2,""kiChargePerSec"":20,""chargePower"":2,""chargeWidth"":true,""steer"":6,""color"":""#eaffa0"",""color2"":""#ffffff""}","src/data/characters.js"
"aurum","AURUM","aurum.lmb","lmb","LMB","Will Fist","construct","Not separately declared; see character identity and parameters","{""type"":""construct"",""name"":""Will Fist"",""cost"":14,""cd"":5,""construct"":""fist"",""duration"":11,""color"":""#5fe07a""}","src/data/characters.js"
"aurum","AURUM","aurum.rmb","rmb","RMB","Will Hammer","construct","Not separately declared; see character identity and parameters","{""type"":""construct"",""name"":""Will Hammer"",""cost"":16,""cd"":6,""construct"":""hammer"",""duration"":10,""color"":""#3fd06a""}","src/data/characters.js"
"aurum","AURUM","aurum.q","q","Q","Barrier","construct","Not separately declared; see character identity and parameters","{""type"":""construct"",""name"":""Barrier"",""cost"":12,""cd"":7,""construct"":""wall"",""duration"":9,""holdTrigger"":true,""color"":""#7dff9e""}","src/data/characters.js"
"aurum","AURUM","aurum.e","e","E","Sentry","construct","Not separately declared; see character identity and parameters","{""type"":""construct"",""name"":""Sentry"",""cost"":16,""cd"":8,""construct"":""turret"",""duration"":12,""color"":""#5fe07a""}","src/data/characters.js"
"aurum","AURUM","aurum.f","f","H","Emerald Bolt","projectile","Not separately declared; see character identity and parameters","{""type"":""projectile"",""name"":""Emerald Bolt"",""cost"":7,""cd"":0.4,""damage"":18,""speed"":88,""radius"":1.4,""blast"":6,""color"":""#5fe07a"",""color2"":""#eaffea""}","src/data/characters.js"
"aurum","AURUM","aurum.shift","shift","SHIFT","Will Surge","dash","Not separately declared; see character identity and parameters","{""type"":""dash"",""name"":""Will Surge"",""cost"":5,""cd"":0.6,""power"":96,""iframes"":0.24,""color"":""#7dff9e""}","src/data/characters.js"
"nova","NOVA","nova.lmb","lmb","LMB","Star Lance","beam","Not separately declared; see character identity and parameters","{""type"":""beam"",""material"":""light"",""name"":""Star Lance"",""cost"":4,""cd"":0.3,""radius"":1.1,""tipSpeed"":907,""maxLen"":150,""dps"":60,""kiPerSec"":16,""steer"":12,""color"":""#ffd24a"",""color2"":""#fff2c0""}","src/data/characters.js"
"nova","NOVA","nova.rmb","rmb","RMB","Nova Core","charge","Not separately declared; see character identity and parameters","{""type"":""charge"",""name"":""Nova Core"",""cost"":6,""cd"":1,""kiPerSec"":12,""maxCharge"":2.2,""minR"":1.4,""maxR"":5.8,""dmgMin"":22,""dmgMax"":76,""maxBlast"":30,""speedMin"":42,""speedMax"":74,""chargePower"":2.8,""color"":""#ff8a3d"",""color2"":""#ffe08a""}","src/data/characters.js"
"nova","NOVA","nova.q","q","Q","Plasma Orb","projectile","Not separately declared; see character identity and parameters","{""type"":""projectile"",""name"":""Plasma Orb"",""cost"":8,""cd"":0.5,""damage"":20,""speed"":60,""radius"":1.8,""blast"":10,""grav"":10,""shock"":true,""color"":""#ff8a3d"",""color2"":""#ffd24a""}","src/data/characters.js"
"nova","NOVA","nova.e","e","E","Solar Wind","cone","Not separately declared; see character identity and parameters","{""type"":""cone"",""name"":""Solar Wind"",""kiPerSec"":16,""range"":34,""arc"":1,""dps"":18,""push"":46,""lift"":4,""color"":""#ffd24a"",""dtype"":""fire""}","src/data/characters.js"
"nova","NOVA","nova.f","f","H","Ember Spray","volley","Not separately declared; see character identity and parameters","{""type"":""volley"",""name"":""Ember Spray"",""cost"":3,""interval"":0.08,""damage"":6,""speed"":104,""radius"":0.8,""blast"":3.2,""spread"":0.14,""color"":""#ff8a3d"",""color2"":""#ffd24a"",""dtype"":""fire""}","src/data/characters.js"
"nova","NOVA","nova.shift","shift","SHIFT","Sun Step","dash","Not separately declared; see character identity and parameters","{""type"":""dash"",""name"":""Sun Step"",""cost"":5,""cd"":0.6,""power"":98,""iframes"":0.24,""color"":""#ffd24a""}","src/data/characters.js"
