"id","name","family","group","lengthFeet","widthFeet","heightFeet","crew","troops","machineGuns","cannons","strategicPayload","missiles","emptyCells","printSecondsProposed","fabricators","layout","drawCalls","triangles"
"weapon-rifle-ak","Frontier rifle · curved magazine","Fleet","Equipment","3","0.3","1.5","0","0","0","0","—","—","0","12","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Modular arsenal · physical prop and attachment sockets · gameplay integration pending","1","400"
"weapon-rifle-m16","Patrol rifle · carry handle","Fleet","Equipment","3.3","0.4","1.4","0","0","0","0","—","—","0","12","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Modular arsenal · physical prop and attachment sockets · gameplay integration pending","1","400"
"weapon-pistol-0","Compact striker pistol","Fleet","Equipment","0.6","0.1","0.4","0","0","0","0","—","—","0","9","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Modular arsenal · physical prop and attachment sockets · gameplay integration pending","1","576"
"weapon-pistol-1","Service duty pistol","Fleet","Equipment","0.7","0.1","0.4","0","0","0","0","—","—","0","9","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Modular arsenal · physical prop and attachment sockets · gameplay integration pending","1","600"
"weapon-pistol-2","Heavy slide pistol","Fleet","Equipment","0.9","0.1","0.5","0","0","0","0","—","—","0","10","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Modular arsenal · physical prop and attachment sockets · gameplay integration pending","1","660"
"weapon-smg-0","Compact folding SMG","Fleet","Equipment","1.6","0.3","1","0","0","0","0","—","—","0","11","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Modular arsenal · physical prop and attachment sockets · gameplay integration pending","1","448"
"weapon-smg-1","Tactical rail SMG","Fleet","Equipment","2.1","0.3","1.2","0","0","0","0","—","—","0","11","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Modular arsenal · physical prop and attachment sockets · gameplay integration pending","1","388"
"weapon-smg-2","Bullpup SMG","Fleet","Equipment","1.9","0.4","1.1","0","0","0","0","—","—","0","11","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Modular arsenal · physical prop and attachment sockets · gameplay integration pending","1","388"
"weapon-sniper-0","Scout precision rifle","Fleet","Equipment","3.6","0.8","1.8","0","0","0","0","—","—","0","14","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Modular arsenal · physical prop and attachment sockets · gameplay integration pending","3","536"
"weapon-sniper-1","Long bolt-action rifle","Fleet","Equipment","4.1","1","2","0","0","0","0","—","—","0","15","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Modular arsenal · physical prop and attachment sockets · gameplay integration pending","3","584"
"weapon-sniper-2","Heavy precision rifle","Fleet","Equipment","4.9","1.1","2.4","0","0","0","0","—","—","0","16","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Modular arsenal · physical prop and attachment sockets · gameplay integration pending","3","548"
"weapon-shotgun-0","Pump shotgun","Fleet","Equipment","3.5","0.4","1.2","0","0","0","0","—","—","0","12","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Modular arsenal · physical prop and attachment sockets · gameplay integration pending","2","408"
"weapon-shotgun-1","Combat shotgun","Fleet","Equipment","3.1","0.4","1.1","0","0","0","0","—","—","0","12","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Modular arsenal · physical prop and attachment sockets · gameplay integration pending","2","420"
"weapon-shotgun-2","Automatic drum shotgun","Fleet","Equipment","2.9","0.3","1","0","0","0","0","—","—","0","11","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Modular arsenal · physical prop and attachment sockets · gameplay integration pending","2","436"
"weapon-rocket-launcher","Shoulder rocket launcher","Fleet","Equipment","4.1","1.1","1.5","0","0","0","0","—","—","0","14","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Modular arsenal · physical prop and attachment sockets · gameplay integration pending","1","204"
"weapon-flamethrower","Flamethrower · canister fed","Fleet","Equipment","3.4","1.2","1.4","0","0","0","0","—","—","0","14","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Modular arsenal · physical prop and attachment sockets · gameplay integration pending","1","512"
"weapon-grenade-frag","Fragmentation grenade","Fleet","Equipment","0.2","0.2","0.4","0","0","0","0","—","—","0","9","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Modular arsenal · physical prop and attachment sockets · gameplay integration pending","1","232"
"weapon-grenade-sticky","Sticky grenade","Fleet","Equipment","0.2","0.3","0.3","0","0","0","0","—","—","0","9","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Modular arsenal · physical prop and attachment sockets · gameplay integration pending","1","288"
"weapon-grenade-smoke","Smoke grenade","Fleet","Equipment","0.2","0.3","0.5","0","0","0","0","—","—","0","9","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Modular arsenal · physical prop and attachment sockets · gameplay integration pending","1","240"
"weapon-grenade-flash","Flash grenade","Fleet","Equipment","0.2","0.2","0.4","0","0","0","0","—","—","0","9","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Modular arsenal · physical prop and attachment sockets · gameplay integration pending","1","240"
"weapon-c4","C4-style remote charge","Fleet","Equipment","0.7","0.5","0.4","0","0","0","0","—","—","0","10","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Modular arsenal · physical prop and attachment sockets · gameplay integration pending","3","140"
"weapon-energy-sword","Laser sword","Fleet","Equipment","3.4","0.4","0.3","0","0","0","0","—","—","0","11","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Modular arsenal · physical prop and attachment sockets · gameplay integration pending","1","124"
"weapon-katana","Samurai sword","Fleet","Equipment","3.6","0.5","0.2","0","0","0","0","—","—","0","11","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Modular arsenal · physical prop and attachment sockets · gameplay integration pending","1","120"
"weapon-longsword","Knight sword","Fleet","Equipment","3.8","0.8","0.3","0","0","0","0","—","—","0","11","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Modular arsenal · physical prop and attachment sockets · gameplay integration pending","1","112"
"weapon-flame-sword","Flaming sword","Fleet","Equipment","3.7","0.7","0.3","0","0","0","0","—","—","0","11","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Modular arsenal · physical prop and attachment sockets · gameplay integration pending","1","172"
"weapon-spear","Combat spear","Fleet","Equipment","6.9","0.5","0.3","0","0","0","0","—","—","0","12","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Modular arsenal · physical prop and attachment sockets · gameplay integration pending","1","124"
"weapon-knife","Combat knife","Fleet","Equipment","1.1","0.3","0.2","0","0","0","0","—","—","0","10","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Modular arsenal · physical prop and attachment sockets · gameplay integration pending","1","112"
"weapon-axe","Boarding axe","Fleet","Equipment","2.3","1","0.3","0","0","0","0","—","—","0","11","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Modular arsenal · physical prop and attachment sockets · gameplay integration pending","1","104"
"weapon-double-axe","Judgment · double-headed axe","Fleet","Equipment","4.1","2.3","0.3","0","0","0","0","—","—","0","13","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Modular arsenal · physical prop and attachment sockets · gameplay integration pending","1","260"
"weapon-impact-hammer","Thunderhead · impact hammer","Fleet","Equipment","3.8","2","0.7","0","0","0","0","—","—","0","14","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Modular arsenal · physical prop and attachment sockets · gameplay integration pending","1","236"
"weapon-shock-mace","Blackout · shock mace","Fleet","Equipment","2.8","0.8","0.7","0","0","0","0","—","—","0","12","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Modular arsenal · physical prop and attachment sockets · gameplay integration pending","1","372"
"weapon-energy-staff","Sentinel · energy staff","Fleet","Equipment","5.9","0.3","0.3","0","0","0","0","—","—","0","11","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Modular arsenal · physical prop and attachment sockets · gameplay integration pending","1","328"
"weapon-aegis-shield","Aegis · kinetic shield","Fleet","Equipment","2.7","1.9","0.6","0","0","0","0","—","—","0","13","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Modular arsenal · physical prop and attachment sockets · gameplay integration pending","1","156"
"weapon-claw-gauntlet","Raptor · claw gauntlet","Fleet","Equipment","1.6","0.5","0.5","0","0","0","0","—","—","0","11","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Modular arsenal · physical prop and attachment sockets · gameplay integration pending","1","168"
"weapon-bow","Recurve bow","Fleet","Equipment","0.8","0.2","4.4","0","0","0","0","—","—","0","11","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Modular arsenal · physical prop and attachment sockets · gameplay integration pending","1","220"
"weapon-arrow","Field arrow","Fleet","Equipment","2.5","0.2","0.1","0","0","0","0","—","—","0","10","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Modular arsenal · physical prop and attachment sockets · gameplay integration pending","1","56"
"weapon-arrow-quiver","Arrow quiver","Fleet","Equipment","0.4","0.5","2","0","0","0","0","—","—","0","11","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Modular arsenal · physical prop and attachment sockets · gameplay integration pending","1","108"
"attachment-suppressor","Modular suppressor","Fleet","Equipment","0.7","0.3","0.3","0","0","0","0","—","—","0","10","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Modular arsenal · physical prop and attachment sockets · gameplay integration pending","1","120"
"attachment-optic","Modular reflex optic","Fleet","Equipment","0.5","0.4","0.6","0","0","0","0","—","—","0","10","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Modular arsenal · physical prop and attachment sockets · gameplay integration pending","2","72"
"attachment-scope","Modular precision scope","Fleet","Equipment","1","0.4","0.4","0","0","0","0","—","—","0","10","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Modular arsenal · physical prop and attachment sockets · gameplay integration pending","2","120"
"parachute","Troop parachute · deployed","Fleet","Equipment","9.5","18.3","11.1","0","0","0","0","—","—","0","46","vehicle-printer / aircraft-printer","Modular arsenal · physical prop and attachment sockets · gameplay integration pending","1","292"
"parachute-pack","Troop parachute · packed","Fleet","Equipment","0.8","1.3","1.8","0","0","0","0","—","—","0","12","vehicle-printer / mobile-fabricator / equipment-printer / aircraft-printer","Modular arsenal · physical prop and attachment sockets · gameplay integration pending","1","48"
"mothership","Obsidian mothership","Fleet","Aircraft","1049.9","729.3","181.1","6","0","0","1","—","—","0","1586","Construction-scale fabrication","Two decks · stairs and hangar overlook · starboard bridge through security · 68 capsules · six catapult fighters","27","17240"
"mothership-fighter","Talon launch fighter","Fleet","Aircraft","78.7","45.9","19.7","1","0","0","1","—","—","0","135","aircraft-printer","Mothership launch fighter · blended cockpit fairing · opening canopy · side and dorsal emblem panels","12","824"
"stealth-jet","Sable stealth jet","Fleet","Aircraft","55.8","48.7","8.4","1","0","2","0","—","2 cell","0","95","aircraft-printer","Cloaking presentation · protected cockpit · twin forward guns · two canonical cell missiles","18","1346"
"nanite-hand-claws","Dec-52 · hand · cutting claws","Dec-52","Equipment","1.6","0.7","0.6","0","0","0","0","—","—","0","Assembly","Nanite assembly","Dec-52 nanite platform · Reforming wrist module · three metal-cutting claws · melee contact socket","1","48"
"nanite-hand-gun","Dec-52 · hand · bullet gun","Dec-52","Equipment","1.5","0.8","0.6","0","0","1","0","—","—","0","Assembly","Nanite assembly","Dec-52 nanite platform · Reforming wrist module · four bullet barrels · muzzle socket","1","168"
"nanite-hand-plasma","Dec-52 · hand · plasma cannon","Dec-52","Equipment","1.4","0.7","0.7","0","0","0","1","—","—","0","Assembly","Nanite assembly","Dec-52 nanite platform · Reforming wrist module · contained energy aperture · burst muzzle","1","140"
